,ID,smf-name,smf-filepath,reduction,JDUTC,RA,Dec,filter,exp-time,UVx,UVy,UVz,obseqx,obseqy,obseqz,obseclx,obseclsy,obseclz
39345,39345, o5330g0504o.167576.cm, ./smf_downloads/SS.2010-05-14/o5330g0504o.167576.cm.468780.smf, PS1_V3, 2455331.093443234, 355.20513, -0.286161, w.00000, 30.0,0.9964879187845129,-0.083587579,-0.0049944308767696,-0.6006244237763716,-0.745851433,-0.3233138818882360,-0.6006244237763716,-0.812912188,0.0000479748714648
39347,39347, o5330g0506o.167578.cm, ./smf_downloads/SS.2010-05-14/o5330g0506o.167578.cm.468791.smf, PS1_V3, 2455331.094507502, 357.593151, 0.934446, w.00000, 30.0,0.9989849431760803,-0.041989501,0.0163084363830778,-0.6006097364814884,-0.745861393,-0.3233182385685762,-0.6006097364814884,-0.812923059,0.0000479395583710
39360,39360, o5330g0519o.167591.cm, ./smf_downloads/SS.2010-05-14/o5330g0519o.167591.cm.468851.smf, PS1_V3, 2455331.101584183, 355.204193, -0.286349, w.00000, 30.0,0.9964865353463233,-0.083603874,-0.0049977120548123,-0.6005120866946541,-0.745927572,-0.3233472049193626,-0.6005120866946541,-0.812995298,0.0000476877706856
39362,39362, o5330g0521o.167592.cm, ./ecliptic-cat/ecliptic/23:00hr/o5330g0521o.167592/o5330g0521o.167592.cm.468860.smf, PS1_V3, 2455331.1026386307, 357.592328, 0.93419, w.00000, 30.0,0.9989844127258142,-0.042003854,0.0163039689342412,-0.6004975383387309,-0.745937426,-0.3233515205934445,-0.6004975383387309,-0.813006056,0.0000476477456021
39896,39896, o5332g0457o.168550.cm, ./ecliptic-cat/ecliptic/23:00hr/o5332g0457o.168550/o5332g0457o.168550.cm.468963.smf, PS1_V3, 2455333.097547933, 355.060428, -0.699068, w.00000, 30.0,0.9962119090541980,-0.086098631,-0.0122007355789751,-0.5730981136866387,-0.764340315,-0.3313284828265909,-0.5730981136866387,-0.83306343,0.0000491771595757
39898,39898, o5332g0459o.168552.cm, ./smf_downloads/SS.2010-05-16/o5332g0459o.168552.cm.468971.smf, PS1_V3, 2455333.0986365234, 357.512386, 0.70482, w.00000, 30.0,0.9989820373935968,-0.043400132,0.0123011193835967,-0.5730827289894583,-0.764350013,-0.3313327329337589,-0.5730827289894583,-0.833074018,0.0000491350737202
39909,39909, o5332g0470o.168563.cm, ./smf_downloads/SS.2010-05-16/o5332g0470o.168563.cm.469001.smf, PS1_V3, 2455333.104617496, 355.060387, -0.699081, w.00000, 30.0,0.9962118446850509,-0.086099344,-0.0122009624548895,-0.5729982119290022,-0.764403256,-0.3313560819923188,-0.5729982119290022,-0.833132155,0.0000488916755899
39911,39911, o5332g0472o.168565.cm, ./smf_downloads/SS.2010-05-16/o5332g0472o.168565.cm.469007.smf, PS1_V3, 2455333.1056957617, 357.512302, 0.704756, w.00000, 30.0,0.9989819874915163,-0.043401597,0.0123000024573826,-0.5729829768801300,-0.764412848,-0.3313602910565752,-0.5729829768801300,-0.83314263,0.0000488456215979
41878,41878, o5340g0430o.171726.cm, ./smf_downloads/SS.2010-05-24/o5340g0430o.171726.cm.469073.smf, PS1_V3, 2455341.0691177864, 357.873544, -0.000167, w.00000, 30.0,0.9993113672188287,-0.037105139,-0.0000029146998508,-0.4574520621981481,-0.828954195,-0.3593366514427097,-0.4574520621981481,-0.903486515,0.0000541101288748
41892,41892, o5340g0444o.171739.cm, ./smf_downloads/SS.2010-05-24/o5340g0444o.171739.cm.469108.smf, PS1_V3, 2455341.076631941, 357.873864, -0.000196, w.00000, 30.0,0.9993115744358311,-0.037099558,-0.0000034208453339,-0.4573370932652083,-0.829007465,-0.3593600535602828,-0.4573370932652083,-0.903544698,0.0000538286190670
